CandidateID,ArabicWord,NormalizedWord,TargetCompetency,RequiredCompetencies,PrimaryPattern,VisualFamily,Difficulty,Priority,SourceRef,Status,Notes
QWOC-A-0017,بَصِيرٌ,بصير,QCI-MD-0002,QCI-PH-0002|QCI-CN-0002,MAD_YA,ب-ص-ر,3,HIGH,PENDING,CANDIDATE,Heavy letter secondary
QWOC-A-0018,قَدِيرٌ,قدير,QCI-MD-0002,QCI-PH-0002|QCI-CN-0002,MAD_YA,ق-د-ر,3,HIGH,PENDING,CANDIDATE,Tanwin secondary
QWOC-A-0019,نَذِيرٌ,نذير,QCI-MD-0002,QCI-PH-0002|QCI-CN-0002,MAD_YA,ن-ذ-ر,3,MEDIUM,PENDING,CANDIDATE,Tanwin secondary
QWOC-A-0020,بَشِيرٌ,بشير,QCI-MD-0002,QCI-PH-0002|QCI-CN-0002,MAD_YA,ب-ش-ر,3,MEDIUM,PENDING,CANDIDATE,Tanwin secondary
QWOC-A-0021,يَقُولُ,يقول,QCI-MD-0003,QCI-PH-0003|QCI-CN-0002,MAD_WAW,ي-ق-ل,3,HIGH,PENDING,CANDIDATE,Common mad waw pattern
QWOC-A-0022,رَسُولٌ,رسول,QCI-MD-0003,QCI-PH-0003|QCI-CN-0002,MAD_WAW,ر-س-ل,3,HIGH,PENDING,CANDIDATE,Tanwin secondary
QWOC-A-0023,غَفُورٌ,غفور,QCI-MD-0003,QCI-PH-0003|QCI-CN-0002,MAD_WAW,ع-غ,3,HIGH,PENDING,CANDIDATE,Tanwin secondary
QWOC-A-0024,شَكُورٌ,شكور,QCI-MD-0003,QCI-PH-0003|QCI-CN-0002,MAD_WAW,ش-ك-ر,3,HIGH,PENDING,CANDIDATE,Tanwin secondary
QWOC-A-0025,نُورٌ,نور,QCI-MD-0003,QCI-PH-0003|QCI-CN-0002,MAD_WAW,ن-و-ر,2,HIGH,PENDING,CANDIDATE,Simple mad waw
QWOC-A-0026,يُرِيدُ,يريد,QCI-MD-0002,QCI-PH-0002|QCI-CN-0002,MAD_YA,ي-ر-د,3,HIGH,PENDING,CANDIDATE,Longer word
QWOC-A-0027,يَعْلَمُ,يعلم,QCI-SK-0001,QCI-PH-0001|QCI-PH-0002|QCI-PH-0003|QCI-CN-0002,SUKUN_BASIC,ي-ع-ل-م,3,HIGH,PENDING,CANDIDATE,Ayn sukun requires later review
QWOC-A-0028,يَجْعَلُ,يجعل,QCI-SK-0001,QCI-PH-0001|QCI-PH-0002|QCI-PH-0003|QCI-CN-0002,SUKUN_BASIC,ي-ج-ع-ل,3,HIGH,PENDING,CANDIDATE,Clustered sukun pattern
QWOC-A-0029,يَخْلُقُ,يخلق,QCI-SK-0001,QCI-PH-0001|QCI-PH-0002|QCI-PH-0003|QCI-CN-0002,SUKUN_BASIC,ي-خ-ل-ق,3,HIGH,PENDING,CANDIDATE,Khā sukun secondary
QWOC-A-0030,نَعْبُدُ,نعبد,QCI-SK-0003,QCI-SK-0001,SUKUN_AIN,ن-ع-ب-د,4,MEDIUM,PENDING,CANDIDATE,Competency-specific ayn sukun
QWOC-A-0031,أَحَدٌ,احد,QCI-TN-0003,QCI-PH-0003|QCI-TN-0001|QCI-TN-0002,TANWIN_DAMM,ا-ح-د,2,HIGH,PENDING,CANDIDATE,Hamzah qata secondary
QWOC-A-0032,صَمَدٌ,صمد,QCI-TN-0003,QCI-PH-0003|QCI-TN-0001|QCI-TN-0002,TANWIN_DAMM,ص-م-د,2,HIGH,PENDING,CANDIDATE,Heavy letter secondary
QWOC-A-0033,كِتَابٌ,كتاب,QCI-TN-0003,QCI-PH-0003|QCI-TN-0001|QCI-TN-0002,TANWIN_DAMM,ك-ت-ب,3,HIGH,PENDING,CANDIDATE,Mad alif secondary
QWOC-A-0034,عَذَابٌ,عذاب,QCI-TN-0003,QCI-PH-0003|QCI-TN-0001|QCI-TN-0002,TANWIN_DAMM,ع-ذ-ب,3,HIGH,PENDING,CANDIDATE,Mad alif secondary
QWOC-A-0035,رَحِيمٌ,رحيم,QCI-TN-0003,QCI-PH-0003|QCI-TN-0001|QCI-TN-0002,TANWIN_DAMM,ر-ح-م,3,HIGH,PENDING,CANDIDATE,Mad ya secondary
QWOC-A-0036,عَظِيمٌ,عظيم,QCI-TN-0003,QCI-PH-0003|QCI-TN-0001|QCI-TN-0002,TANWIN_DAMM,ع-ظ-م,4,HIGH,PENDING,CANDIDATE,Heavy letter secondary
QWOC-A-0037,قَرِيبٌ,قريب,QCI-TN-0003,QCI-PH-0003|QCI-TN-0001|QCI-TN-0002,TANWIN_DAMM,ق-ر-ب,3,MEDIUM,PENDING,CANDIDATE,Mad ya secondary
QWOC-A-0038,سَمِيعٌ,سميع,QCI-TN-0003,QCI-PH-0003|QCI-TN-0001|QCI-TN-0002,TANWIN_DAMM,س-م-ع,3,HIGH,PENDING,CANDIDATE,Mad ya secondary
QWOC-A-0039,خَبِيرٌ,خبير,QCI-TN-0003,QCI-PH-0003|QCI-TN-0001|QCI-TN-0002,TANWIN_DAMM,ج-ح-خ,3,HIGH,PENDING,CANDIDATE,Mad ya secondary
QWOC-A-0040,وَاسِعٌ,واسع,QCI-TN-0003,QCI-PH-0003|QCI-TN-0001|QCI-TN-0002,TANWIN_DAMM,و-س-ع,3,MEDIUM,PENDING,CANDIDATE,Mad alif secondary
QWOC-A-0041,حَقًّا,حقا,QCI-TN-0001,QCI-PH-0001|QCI-CN-0002,TANWIN_FATH,ح-ق,3,HIGH,PENDING,CANDIDATE,Tasydid secondary
QWOC-A-0042,خَيْرًا,خيرا,QCI-TN-0001,QCI-PH-0001|QCI-CN-0002,TANWIN_FATH,خ-ي-ر,3,HIGH,PENDING,CANDIDATE,Diphthong secondary
QWOC-A-0043,كَبِيرًا,كبيرا,QCI-TN-0001,QCI-PH-0001|QCI-CN-0002,TANWIN_FATH,ك-ب-ر,3,HIGH,PENDING,CANDIDATE,Mad ya secondary
QWOC-A-0044,قَلِيلًا,قليلا,QCI-TN-0001,QCI-PH-0001|QCI-CN-0002,TANWIN_FATH,ق-ل-ل,3,HIGH,PENDING,CANDIDATE,Mad ya secondary
QWOC-A-0045,كَثِيرًا,كثيرا,QCI-TN-0001,QCI-PH-0001|QCI-CN-0002,TANWIN_FATH,ك-ث-ر,3,HIGH,PENDING,CANDIDATE,Mad ya secondary
QWOC-A-0046,جَمِيلًا,جميلا,QCI-TN-0001,QCI-PH-0001|QCI-CN-0002,TANWIN_FATH,ج-م-ل,3,MEDIUM,PENDING,CANDIDATE,Mad ya secondary
QWOC-A-0047,شَدِيدًا,شديدا,QCI-TN-0001,QCI-PH-0001|QCI-CN-0002,TANWIN_FATH,ش-د-د,4,HIGH,PENDING,CANDIDATE,Mad ya secondary
QWOC-A-0048,بَعِيدًا,بعيدا,QCI-TN-0001,QCI-PH-0001|QCI-CN-0002,TANWIN_FATH,ب-ع-د,3,MEDIUM,PENDING,CANDIDATE,Mad ya secondary
QWOC-A-0049,قَرِيبًا,قريبا,QCI-TN-0001,QCI-PH-0001|QCI-CN-0002,TANWIN_FATH,ق-ر-ب,3,MEDIUM,PENDING,CANDIDATE,Mad ya secondary
QWOC-A-0050,سَرِيعًا,سريعا,QCI-TN-0001,QCI-PH-0001|QCI-CN-0002,TANWIN_FATH,س-ر-ع,3,MEDIUM,PENDING,CANDIDATE,Mad ya secondary
QWOC-A-0051,عَذَابٍ,عذاب,QCI-TN-0002,QCI-PH-0002|QCI-TN-0001,TANWIN_KASR,ع-ذ-ب,3,HIGH,PENDING,CANDIDATE,Mad alif secondary
QWOC-A-0052,كِتَابٍ,كتاب,QCI-TN-0002,QCI-PH-0002|QCI-TN-0001,TANWIN_KASR,ك-ت-ب,3,HIGH,PENDING,CANDIDATE,Mad alif secondary
QWOC-A-0053,يَوْمٍ,يوم,QCI-TN-0002,QCI-PH-0002|QCI-TN-0001,TANWIN_KASR,ي-و-م,3,HIGH,PENDING,CANDIDATE,Diphthong secondary
QWOC-A-0054,قَوْمٍ,قوم,QCI-TN-0002,QCI-PH-0002|QCI-TN-0001,TANWIN_KASR,ق-و-م,3,HIGH,PENDING,CANDIDATE,Diphthong secondary
QWOC-A-0055,شَيْءٍ,شيء,QCI-TN-0002,QCI-PH-0002|QCI-TN-0001,TANWIN_KASR,ش-ي-ء,4,MEDIUM,PENDING,CANDIDATE,Hamzah secondary
QWOC-A-0056,نَفْسٍ,نفس,QCI-TN-0002,QCI-PH-0002|QCI-TN-0001,TANWIN_KASR,ن-ف-س,3,HIGH,PENDING,CANDIDATE,Sukun secondary
QWOC-A-0057,رَجُلٍ,رجل,QCI-TN-0002,QCI-PH-0002|QCI-TN-0001,TANWIN_KASR,ر-ج-ل,2,MEDIUM,PENDING,CANDIDATE,Simple three-letter word
QWOC-A-0058,بَلَدٍ,بلد,QCI-TN-0002,QCI-PH-0002|QCI-TN-0001,TANWIN_KASR,ب-ل-د,2,MEDIUM,PENDING,CANDIDATE,Simple three-letter word
QWOC-A-0059,أَمْرٍ,امر,QCI-TN-0002,QCI-PH-0002|QCI-TN-0001,TANWIN_KASR,ا-م-ر,3,HIGH,PENDING,CANDIDATE,Hamzah and sukun secondary
QWOC-A-0060,أَجْرٍ,اجر,QCI-TN-0002,QCI-PH-0002|QCI-TN-0001,TANWIN_KASR,ا-ج-ر,3,HIGH,PENDING,CANDIDATE,Hamzah and sukun secondary
QWOC-A-0061,الْكِتَابُ,الكتاب,QCI-OR-0001,QCI-CN-0002|QCI-PH-0001|QCI-PH-0002|QCI-PH-0003,ALIF_LAM,ك-ت-ب,3,HIGH,PENDING,CANDIDATE,Mad alif secondary
QWOC-A-0062,الْأَرْضُ,الارض,QCI-OR-0001,QCI-CN-0002|QCI-PH-0001|QCI-PH-0002|QCI-PH-0003,ALIF_LAM,ا-ر-ض,4,HIGH,PENDING,CANDIDATE,Hamzah and heavy letter secondary
QWOC-A-0063,السَّمَاءُ,السماء,QCI-OR-0001,QCI-CN-0002|QCI-PH-0001|QCI-PH-0002|QCI-PH-0003,ALIF_LAM,س-م-ء,4,HIGH,PENDING,CANDIDATE,Tasydid and hamzah secondary
QWOC-A-0064,النَّاسُ,الناس,QCI-OR-0001,QCI-CN-0002|QCI-PH-0001|QCI-PH-0002|QCI-PH-0003,ALIF_LAM,ن-ا-س,3,HIGH,PENDING,CANDIDATE,Tasydid secondary
QWOC-A-0065,الْمَاءُ,الماء,QCI-OR-0001,QCI-CN-0002|QCI-PH-0001|QCI-PH-0002|QCI-PH-0003,ALIF_LAM,م-ا-ء,4,MEDIUM,PENDING,CANDIDATE,Hamzah secondary
QWOC-A-0066,الْجَنَّةُ,الجنة,QCI-OR-0001,QCI-CN-0002|QCI-PH-0001|QCI-PH-0002|QCI-PH-0003,ALIF_LAM,ج-ن,4,HIGH,PENDING,CANDIDATE,Tasydid and ta marbuta secondary
QWOC-A-0067,النَّارُ,النار,QCI-OR-0001,QCI-CN-0002|QCI-PH-0001|QCI-PH-0002|QCI-PH-0003,ALIF_LAM,ن-ا-ر,3,HIGH,PENDING,CANDIDATE,Tasydid secondary
QWOC-A-0068,الْحَقُّ,الحق,QCI-OR-0001,QCI-CN-0002|QCI-PH-0001|QCI-PH-0002|QCI-PH-0003,ALIF_LAM,ح-ق,4,HIGH,PENDING,CANDIDATE,Tasydid secondary
QWOC-A-0069,الْبَحْرُ,البحر,QCI-OR-0001,QCI-CN-0002|QCI-PH-0001|QCI-PH-0002|QCI-PH-0003,ALIF_LAM,ب-ح-ر,3,MEDIUM,PENDING,CANDIDATE,Sukun secondary
QWOC-A-0070,الْجَبَلُ,الجبل,QCI-OR-0001,QCI-CN-0002|QCI-PH-0001|QCI-PH-0002|QCI-PH-0003,ALIF_LAM,ج-ب-ل,3,MEDIUM,PENDING,CANDIDATE,Simple alif-lam word
QWOC-A-0071,مُحَمَّدٌ,محمد,QCI-SH-0001,QCI-SK-0001,SHADDAH,م-ح-د,4,HIGH,PENDING,CANDIDATE,Proper name review
QWOC-A-0072,رَبُّ,رب,QCI-SH-0001,QCI-SK-0001,SHADDAH,ر-ب,3,HIGH,PENDING,CANDIDATE,Short tasydid pattern
QWOC-A-0073,حَقٌّ,حق,QCI-SH-0001,QCI-SK-0001,SHADDAH,ح-ق,3,HIGH,PENDING,CANDIDATE,Tanwin secondary
QWOC-A-0074,شَرٌّ,شر,QCI-SH-0001,QCI-SK-0001,SHADDAH,ش-ر,3,HIGH,PENDING,CANDIDATE,Tanwin secondary
QWOC-A-0075,جَنَّةٌ,جنة,QCI-SH-0001,QCI-SK-0001,SHADDAH,ج-ن,4,HIGH,PENDING,CANDIDATE,Ta marbuta secondary
QWOC-A-0076,ذَرَّةٌ,ذرة,QCI-SH-0001,QCI-SK-0001,SHADDAH,ذ-ر,4,MEDIUM,PENDING,CANDIDATE,Ta marbuta secondary
QWOC-A-0077,قُوَّةٌ,قوة,QCI-SH-0001,QCI-SK-0001,SHADDAH,ق-و,4,MEDIUM,PENDING,CANDIDATE,Mad-like waw review
QWOC-A-0078,مَرَّةً,مرة,QCI-SH-0001,QCI-SK-0001,SHADDAH,م-ر,4,MEDIUM,PENDING,CANDIDATE,Tanwin and ta marbuta secondary
QWOC-A-0079,كُلُّ,كل,QCI-SH-0001,QCI-SK-0001,SHADDAH,ك-ل,3,HIGH,PENDING,CANDIDATE,Short tasydid pattern
QWOC-A-0080,ثُمَّ,ثم,QCI-SH-0001,QCI-SK-0001,SHADDAH,ب-ت-ث,3,HIGH,PENDING,CANDIDATE,Short tasydid pattern
QWOC-A-0081,رَحْمَةٌ,رحمة,QCI-OR-0004,QCI-GR-0004|QCI-PH-0001|QCI-PH-0002|QCI-PH-0003,TA_MARBUTAH,ر-ح-م,3,HIGH,PENDING,CANDIDATE,Sukun and tanwin secondary
QWOC-A-0082,نِعْمَةٌ,نعمة,QCI-OR-0004,QCI-GR-0004|QCI-PH-0001|QCI-PH-0002|QCI-PH-0003,TA_MARBUTAH,ن-ع-م,3,HIGH,PENDING,CANDIDATE,Sukun secondary
QWOC-A-0083,آيَةٌ,اية,QCI-OR-0004,QCI-GR-0004|QCI-PH-0001|QCI-PH-0002|QCI-PH-0003,TA_MARBUTAH,ا-ي,3,HIGH,PENDING,CANDIDATE,Mad and hamzah secondary
QWOC-A-0084,شَجَرَةٌ,شجرة,QCI-OR-0004,QCI-GR-0004|QCI-PH-0001|QCI-PH-0002|QCI-PH-0003,TA_MARBUTAH,ش-ج-ر,3,MEDIUM,PENDING,CANDIDATE,Longer word
QWOC-A-0085,قَرْيَةٌ,قرية,QCI-OR-0004,QCI-GR-0004|QCI-PH-0001|QCI-PH-0002|QCI-PH-0003,TA_MARBUTAH,ق-ر-ي,4,MEDIUM,PENDING,CANDIDATE,Sukun secondary
QWOC-A-0086,جَنَّةٌ,جنة,QCI-OR-0004,QCI-GR-0004|QCI-PH-0001|QCI-PH-0002|QCI-PH-0003,TA_MARBUTAH,ج-ن,4,HIGH,PENDING,CANDIDATE,Tasydid secondary
QWOC-A-0087,سَاعَةٌ,ساعة,QCI-OR-0004,QCI-GR-0004|QCI-PH-0001|QCI-PH-0002|QCI-PH-0003,TA_MARBUTAH,س-ع,4,HIGH,PENDING,CANDIDATE,Mad alif secondary
QWOC-A-0088,فِتْنَةٌ,فتنة,QCI-OR-0004,QCI-GR-0004|QCI-PH-0001|QCI-PH-0002|QCI-PH-0003,TA_MARBUTAH,ف-ت-ن,4,MEDIUM,PENDING,CANDIDATE,Sukun secondary
QWOC-A-0089,حَسَنَةٌ,حسنة,QCI-OR-0004,QCI-GR-0004|QCI-PH-0001|QCI-PH-0002|QCI-PH-0003,TA_MARBUTAH,ح-س-ن,3,HIGH,PENDING,CANDIDATE,Common pattern
QWOC-A-0090,سَيِّئَةٌ,سيئة,QCI-OR-0004,QCI-GR-0004|QCI-PH-0001|QCI-PH-0002|QCI-PH-0003,TA_MARBUTAH,س-ي-ء,5,MEDIUM,PENDING,CANDIDATE,Tasydid and hamzah secondary
